				corr.
dъkti	slovene	hčȋ	xt͡ʃíː	
sadìti	slovene	sadíti	sadìːti	
netьjь	slovene	nečák	nɛt͡ʃàːk	
surovъ	slovene	surǫ̑v	surɔ́ʋ	
kaziti	slovene	kazíti	kazìːti	
sę̀gati	slovene	sę́zati	sèːzati	
žìca	slovene	žíca	ʒìːt͡sa	
grъměždžь	slovene	krmę́lj	krmèːlé̝	
dvòrъ	slovene	dvòr	dʋə́r	
golotь	slovene	golot	ɡɔlɔt	
osa	slovene	jesíka	jɛsìːka	
ȏsь	slovene	ǫ̑s	ó̝ːs	
pluti	slovene	plúti	plùːti	
dȇrvo	slovene	drẹvọ̑	dreʋóː	
zidъ	slovene	zȋd	zíːt	
kòrsta	slovene	krásta	kràːsta	
solovikъ	slovene	slávǝc	slàːʋət͡s	
pъlkъ	slovene	pȏɫk	pɔ́ːʊk	
nogà	slovene	nóga	nɔ̀ːɡa	
globati	slovene	glǫ́bati	ɡlèːbati	
pỳrъ	slovene	pȋr	píːr	
ȇdlь	slovene	ję̑l	jé̝ːl	
sě̀jati	slovene	sẹjáti	sèːjti	
edlà	slovene	ję̑l	jé̝ːl	
l̨ubъ	slovene	ljȗb	ljúːp	
drьkolь	slovene	dŕkoɫ	də̀rkɔʊ	
grozà	slovene	gróza	ɡrɔ̀ːza	
trudъ	slovene	trȗd	trúːt	
rȗdъ	slovene	rȗd	rúːt	
stьgna	slovene	stǝgnè	stəɡné	
polvъ	slovene	plàv	plàːʋ	
vьśь	slovene	vǝ̀s	ʋə̀rs	
děl̨ьma	slovene	dẹ̀lj	délj	
krǫtъ	slovene	krǫ̑t	kró̝ːt	
obuti	slovene	obúti	ɔbùːti	
lędvьje	slovene	lę́dija	lèːdija	
kȃlъ	slovene	kȃɫ	káː	
dь̑nь	slovene	dȃn	dáːn	
grǫ̑dь	slovene	grǫ̑d	ɡró̝ːt	
zьdь	slovene	zȋd	zíːt	
sъ̏lnьce	slovene	sȏɫnce	sɔ́ːʊnt͡sɛ	
tьma	slovene	tǝmà	tǝmá	
belená	slovene	blẹ̀n	blèːn	
belniti	slovene	blẹncáti	blent͡sàːti	
gràbiti	slovene	grábiti	ɡràːbiti	
měna	slovene	mẹ́na	mèːna	
majati	slovene	májati	màːjati	
però	slovene	perọ̑	pɛróː	
sǫdorgъ	slovene	sǫ́draga	sèːdraɡa	
ȏlъ	slovene	ǫ̑ɫ	ó̝ːʊ	
četvьrtъ	slovene	četŕti	t͡ʃɛtə̀rti	
čitati	slovene	čítati	t͡ʃìːtati	
ese	slovene	esej	ɛsɛj	
kyvati	slovene	kívati	kìːʋati	
cěstiti	slovene	cẹ́stiti	t͡sèːstiti	
svekry	slovene	svę̑krva	sʋɔkrə́ʋa	
sítъ	slovene	sȋt	síːt	
gomola	slovene	gomóla	ɡɔmɔ̀ːla	
pǫpъkъ	slovene	pǫ̑p	pó̝ːp	
ȁsenъ	slovene	jásen	jàːsɛn	
pīščàti	slovene	pískati	pìːskati	
želàti	slovene	želẹ́ti	ʒɛlèːti	
ǫtrь	slovene	nǫ̑tǝr	nó̝tǝr	
děl̨a	slovene	dẹ̀lj	délj	
grakati	slovene	grákati	ɡràːkati	
dobrъ	slovene	dǫ́bǝr	dòːbər	
vòl̨a	slovene	vǫ́lja	ʋò̝ːlja	
pętъ	slovene	pę́ti	pòːti	
a	slovene	a	a	
stìgnǫti	slovene	stígniti	stìːɡniti	
ničati	slovene	níčati	nìːt͡ʃati	
ovьnъ	slovene	óvǝn	ɔ̀ːʋən	
ležàti	slovene	léžati	lɛ̀ːʒati	
degъtь	slovene	dēgǝt	dèːɡǝt	
dě́lъ	slovene	djal	djal	
dъvojь	slovene	dvọ̑j	dʋóːj	
ženà	slovene	žéna	ʒɛ̀ːna	
bàviti	slovene	báviti se	bàːʋiti sɛsɛ	
drobъ	slovene	drọ̑b	dróːp	
koterъ	slovene	kotę́ri	kɔtòːri	
dỳmъ	slovene	dìm	dím	
mǫ̀čiti	slovene	múčiti	mùːt͡ʃiti	
sъlàti	slovene	posláti	pɔslàːti	
bě́lъ	slovene	bẹ́ɫ	bèːʊ	
porti	slovene	práti	pràːti	
blъxà	slovene	bóɫha	bɔ̀ːʊxa	
droždžьje	slovene	drožję̑	drɔʒjéː	
piskorь	slovene	piskǫ́r	piskòːr	
godьnъ	slovene	gódǝn	ɡɔ̀ːdən	
ȅzero	slovene	ję̑zerọ	jóːzɛro	
brusьnica	slovene	brusníca	brusnìːt͡sa	
golěnь	slovene	golẹ̑n	ɡɔléːn	
volstь	slovene	lȃst	láːst	
mǫ̑žь	slovene	mǫ̑ž	mó̝ːʃ	
līcè	slovene	líce	lìːt͡sɛ	
čermъša	slovene	črę̑mha	t͡ʃré̝ːmxa	
gorà	slovene	góra	ɡɔ̀ːra	
či	slovene	čì	t͡ʃí	
dalь	slovene	dálja	dàːlja	
bùr̨a	slovene	búrja	bùːrja	
ěža	slovene	jẹ̑z	jéːs	
emelo	slovene	omę́la	ɔmèːla	
kysьlъ	slovene	kísǝɫ	kìːsɛʊ	
bȏlgo	slovene	blagọ̑	blaɡóː	
òdrъ	slovene	ódǝr	ɔ̀ːdər	
zaverti	slovene	zavrẹ́ti	zaʋrèːti	
vedrъ	slovene	vę́dǝr	ʋè̝ːdər	
loky	slovene	lǫ̑kǝv	lɔkǝʋ	
lǭčìti	slovene	lǫ́čiti	lò̝ːt͡ʃiti	
